,TaxID,Level,PlotName,variable,value,Symbol
88,OTU_45,OTU,OTU45 Streptococcus sp.,"WBS
Days -7 to 21",0.0746467348,
89,OTU_47,OTU,OTU47 Succinatimonas hippei,"WBS
Days -7 to 21",1.0202381691,
90,OTU_56,OTU,OTU56 Anaeroplasmataceae sp.,"WBS
Days -7 to 21",0.1805168641,
91,OTU_59,OTU,OTU59 Kineothrix sp.,"WBS
Days -7 to 21",-0.0861978892,
92,OTU_7,OTU,OTU7 Prevotella sp.,"WBS
Days -7 to 21",1.8505902611,
93,OTU_72,OTU,OTU72 Parolsenella catena,"WBS
Days -7 to 21",-0.0888432625,
94,OTU_73,OTU,OTU73 Bifidobacterium tissierii,"WBS
Days -7 to 21",-0.576403051,
95,P1,Phylum,Actinobacteria,"WBS
Days 21 to 49
(healthy)",0.706017164,
96,P2,Phylum,Bacteroidetes,"WBS
Days 21 to 49
(healthy)",-1.7100842224,
97,P5,Phylum,Firmicutes,"WBS
Days 21 to 49
(healthy)",1.0701883341,
98,P6,Phylum,Fusobacteria,"WBS
Days 21 to 49
(healthy)",-0.0024935789,
99,P7,Phylum,Proteobacteria,"WBS
Days 21 to 49
(healthy)",-1.1131426065,
100,P8,Phylum,Tenericutes,"WBS
Days 21 to 49
(healthy)",0.0837687083,
101,F1,Family,Acidaminococcaceae,"WBS
Days 21 to 49
(healthy)",1.5333311926,
102,F16,Family,Coriobacteriaceae,"WBS
Days 21 to 49
(healthy)",0.7591368097,
103,F18,Family,Enterobacteriaceae,"WBS
Days 21 to 49
(healthy)",0,
104,F23,Family,Lachnospiraceae,"WBS
Days 21 to 49
(healthy)",1.7601904692,+
105,F32,Family,Porphyromonadaceae,"WBS
Days 21 to 49
(healthy)",1.2527325474,
106,F33,Family,Prevotellaceae,"WBS
Days 21 to 49
(healthy)",0.4143095807,
107,F39,Family,Sutterellaceae,"WBS
Days 21 to 49
(healthy)",-0.4127761188,
108,F40,Family,Veillonellaceae,"WBS
Days 21 to 49
(healthy)",-1.350657084,
109,F5,Family,Anaeroplasmataceae,"WBS
Days 21 to 49
(healthy)",0.0837755055,
110,F9,Family,Bifidobacteriaceae,"WBS
Days 21 to 49
(healthy)",0.5653564983,
111,G13,Genus,Bifidobacterium,"WBS
Days 21 to 49
(healthy)",0.5931978882,
112,G44,Genus,Megasphaera,"WBS
Days 21 to 49
(healthy)",-1.2558038019,
113,G54,Genus,Phascolarctobacterium,"WBS
Days 21 to 49
(healthy)",1.41538948,
114,G66,Genus,Succinatimonas,"WBS
Days 21 to 49
(healthy)",-4.5728245696,
115,G67,Genus,Sutterella,"WBS
Days 21 to 49
(healthy)",-0.4135301573,
116,G8,Genus,Asteroleplasma,"WBS
Days 21 to 49
(healthy)",0.0838353284,
117,OTU_129,OTU,OTU129 Bifidobacterium hapali,"WBS
Days 21 to 49
(healthy)",0.0283478131,
